gender,age,married,education,value_main_house,future_expenses,%_spend_future_win,risk,tot_amm_year_retirement_plans,tot_value_retirement_plans,tot_income_month,tot_loans_rest,tot_amm_acc,port_inv_val,ann_inv_income,monthly_expenses
1.0,31.0,1.0,12.0,80.0,3.0,10.0,4.0,0.36,15.0,1.8,43.0,2.0,0.0,0.0,0.7
2.0,55.0,2.0,4.0,100.0,3.0,100.0,4.0,0.36,15.0,0.458,0.0,0.5,0.0,0.0,0.8
2.0,54.0,5.0,8.0,145.643,3.0,50.0,4.0,0.36,15.0,1.891,78.2,5.0,0.0,0.0,0.889
1.0,39.0,2.0,1.0,0.0,3.0,100.0,4.0,0.36,15.0,1.32,0.0,0.02,0.0,0.0,1.03
2.0,50.0,6.0,2.0,0.0,3.0,70.0,4.0,0.36,15.0,0.851,1.9,0.0,0.0,0.0,1.156
1.0,48.0,2.0,11.0,90.0,1.0,0.0,4.0,0.36,15.0,0.6,160.0,0.1,0.0,0.0,1.1
2.0,42.0,2.0,11.0,318.13,1.0,100.0,3.0,0.36,15.0,2.5,248.0,6.0,0.0,0.0,3.9
1.0,73.0,2.0,12.0,550.0,1.0,50.0,4.0,8.0,200.0,2.13,0.0,15.0,360.597,4.0,3.0
2.0,40.0,2.0,6.0,200.58,3.0,50.0,1.0,0.36,15.0,0.0,0.0,0.0,0.0,0.0,0.7
2.0,41.0,2.0,4.0,120.0,1.0,0.0,4.0,0.36,15.0,0.84,4.595,0.2,0.0,0.0,1.5
1.0,68.0,5.0,3.0,80.0,2.0,100.0,4.0,0.36,15.0,0.9,0.0,0.312,0.0,0.0,0.349
2.0,85.0,6.0,4.0,154.606,3.0,0.0,4.0,0.36,15.0,0.39,0.0,6.0,0.0,0.0,0.38
2.0,55.0,1.0,2.0,180.304,1.0,30.0,4.0,0.6,6.0,1.0,0.0,0.8,0.0,0.0,0.6
1.0,78.0,2.0,10.0,700.0,3.0,50.0,4.0,0.0,72.0,4.534,0.0,4.0,205.597,1.0,3.0
2.0,33.0,1.0,8.0,130.0,3.0,0.0,3.0,0.36,15.0,0.9,56.0,7.5,0.0,0.0,2.707
2.0,36.0,2.0,2.0,45.0,2.0,90.0,3.0,0.36,15.0,0.0,31.0,0.6,0.0,0.0,0.94
2.0,64.0,6.0,7.0,150.253,3.0,0.0,4.0,3.0,40.0,1.4,0.0,30.0,0.0,0.0,0.85
1.0,78.0,2.0,5.0,180.304,3.0,0.0,4.0,0.36,15.0,1.734,0.5,45.0,0.0,0.0,1.5
2.0,40.0,1.0,8.0,0.0,1.0,0.0,4.0,0.36,15.0,0.0,0.0,1.7,0.0,0.0,1.297
2.0,42.0,2.0,8.0,150.253,1.0,100.0,3.0,0.36,15.0,0.9,160.0,19.341,0.0,0.0,2.686
1.0,78.0,2.0,12.0,865.415,3.0,50.0,2.0,0.2,15.0,2.6,0.0,20.0,1025.0,18.0,3.0
2.0,36.0,4.0,4.0,0.0,1.0,0.0,4.0,0.36,15.0,0.87,2.5,0.0,0.0,0.0,0.682
1.0,69.0,2.0,6.0,150.0,3.0,100.0,4.0,0.36,15.0,0.672,2.8,0.004,0.0,0.0,0.505
1.0,69.0,2.0,4.0,90.152,1.0,50.0,4.0,0.36,15.0,1.4,0.0,5.341,0.0,0.0,1.264
1.0,56.0,2.0,3.0,180.0,3.0,70.0,4.0,0.36,15.0,4.5,200.0,5.0,9000.0,150.0,1.5
1.0,70.0,2.0,6.0,300.506,3.0,100.0,4.0,0.36,15.0,2.635,0.0,60.0,0.0,0.0,0.64
1.0,75.0,2.0,11.0,130.0,1.0,80.0,3.0,1.0,15.0,2.353,0.0,175.0,760.0,5.0,2.07
1.0,78.0,2.0,6.0,650.0,3.0,0.0,4.0,0.36,15.0,1.85,0.0,220.0,0.0,0.0,1.25
2.0,57.0,2.0,11.0,350.0,2.0,50.0,4.0,1.39,48.834,3.293,0.0,14.579,20.962,0.206,1.966
1.0,80.0,2.0,13.0,420.708,1.0,0.0,4.0,0.36,15.0,2.2,0.0,40.0,1516.666,69.7,2.0
1.0,47.0,2.0,11.0,450.0,2.0,0.0,4.0,0.5,15.0,8.333,354.0,2.0,0.0,0.0,3.75
